id,nombre,apellido,dni,telefono,monto,puntos,esGanador
0,JUAN PABLO,SOTO,11111111,+54 9 222222,545.08,54,false
1,SILVINA,GONZALEZ,11111111,+54 9 222222,1600.6,160,true
2,DIEGO FERNANDO,ASENSIO,11111111,+54 9 222222,131.99,13,false
3,MARÃ?A VICTORIA,TIGNINO,11111111,+54 9 222222,1406.7,140,true
4,CLAUDIA LEDA,MATTEO,11111111,+54 9 222222,2393.21,239,true
5,EDUARDO,SPOTORNO,11111111,+54 9 222222,978.56,97,false
6,PATRICIO LEANDRO,ACOSTA,11111111,+54 9 222222,1438.19,143,true
7,EDUARDO AUGUSTO,WAGENER SEGUÃ?,11111111,+54 9 222222,1719.4,171,true
8,ANDRES MARIANO,RUIZ,11111111,+54 9 222222,1240.29,124,true
9,SERGIO NESTOR,SANTILLANA,11111111,+54 9 222222,1488.67,148,true
10,MARÃ?A GUILLERMINA,D'ONOFRIO,11111111,+54 9 222222,553.48,55,false
11,MARIO RAÃšL,ESCALANTE,11111111,+54 9 222222,359.4,35,false
12,JUAN NORBERTO,CARENA,11111111,+54 9 222222,1692.99,169,true
13,JOSE MARIA,HEGELLE,11111111,+54 9 222222,746.86,74,false
14,CLAUDIA MARISEL,DELLAFIORE,11111111,+54 9 222222,1006.89,100,true
15,TERESA,BOSELLI,11111111,+54 9 222222,1952.59,195,true
16,ALBERTO ANTONIO,SOUTO,11111111,+54 9 222222,1325.3,132,true
17,ALEJANDRA TERESA,CHAVEZ FLORES,11111111,+54 9 222222,793.95,79,false
18,JORGE,ALIAGA,11111111,+54 9 222222,2814.24,281,true
19,SOLANGE ROMINA,MARTINEZ DEMARCO,11111111,+54 9 222222,1716.85,171,true
20,ISABEL ESTHER,CINTO,11111111,+54 9 222222,520.14,52,false
21,JORGE MANUEL,FINOCHIETTO,11111111,+54 9 222222,498.3,49,false
22,GERARDO,BURTON,11111111,+54 9 222222,813.78,81,false
23,ANTONIO,CURTOSI,11111111,+54 9 222222,2165.22,216,true
24,ALEJADRO RAÃšL,MARTÃ?NEZ,11111111,+54 9 222222,1768.08,176,true
25,MARÃ?A GLORIA,TROCELLO,11111111,+54 9 222222,247.19,24,false
26,MARIA ELINA,ESTEBANEZ,11111111,+54 9 222222,1601.23,160,true
27,RUBEN OSCAR,WEHT,11111111,+54 9 222222,993.84,99,false
28,GABRIELA VIVIANA,TOSONOTTO,11111111,+54 9 222222,1631.56,163,true
29,ALBERTO,SECCHI,11111111,+54 9 222222,2287.67,228,true
30,VERONICA SOLEDAD,DEL VALLE,11111111,+54 9 222222,495.34,49,false
31,SILVANA,PETRUCCELLI,11111111,+54 9 222222,700.13,70,false
32,EDGARFDO GERMAN,PEREYRA,11111111,+54 9 222222,444.02,44,false
33,DAMIAN JOSÃ‰,KRAUS,11111111,+54 9 222222,812.39,81,false
34,ERIC JAVIER,MARTÃ?NEZ,11111111,+54 9 222222,2685.32,268,true
35,GUSTAVO HECTOR,LIBERATORE,11111111,+54 9 222222,338.44,33,false
36,ARIEL ERNESTO,CARIAGA MARTINEZ,11111111,+54 9 222222,607.52,60,false
37,GERARDO MATHIAS,IURINIC,11111111,+54 9 222222,2726.65,272,true
38,IRENE RUTH,SCHLOSS,11111111,+54 9 222222,402.63,40,false
39,MARCELO MARIO,MARISCAL,11111111,+54 9 222222,1473.16,147,true
40,CRISTIAN EDUARDO,LEDESMA,11111111,+54 9 222222,201.68,20,false
41,PEDRO,DALEO,11111111,+54 9 222222,1399.12,139,true
42,HORACIO MIGUEL,PASTAWSKI,11111111,+54 9 222222,1854.59,185,true
43,CARLOS G,WERNICKE,11111111,+54 9 222222,1735.09,173,true
44,LUCAS ALFREDO,DEFELIPE,11111111,+54 9 222222,1025.17,102,true
45,FLAVIA,BONOMO,11111111,+54 9 222222,1161.03,116,true
46,LUISINA,POCAY,11111111,+54 9 222222,1913.74,191,true
47,MARISOL,VALLEJO,11111111,+54 9 222222,1005.49,100,true
48,ANTOLIN ERNESTO,MORAL,11111111,+54 9 222222,1154.01,115,true
49,VÃ?CTOR ARIEL,VERGARA ROIG,11111111,+54 9 222222,582.19,58,false
50,RAMON,GARCIA-MARTINEZ,11111111,+54 9 222222,1883.34,188,true
51,MARIANA,HERRERA PIÃ‘ERO,11111111,+54 9 222222,293.79,29,false
52,SEBASTIAN ALBERTO,RODRIGUEZ,11111111,+54 9 222222,849.57,84,false
53,RAÃšL GERARDO,BADINI,11111111,+54 9 222222,2026.76,202,true
54,VALERIA,BERNAL,11111111,+54 9 222222,2050.65,205,true
55,PABLO,ALABARCES,11111111,+54 9 222222,1650.6,165,true
56,JULIA,GELFMAN,11111111,+54 9 222222,1730.36,173,true
