persona_id;nombre;apellido;edad;dni;telefono
1;JUAN PABLO;SOTO;44;8648409;29984428
2;SILVINA;GONZALEZ;36;5658129;29993473
3;DIEGO FERNANDO;ASENSIO;46;3707625;29960361
4;MARÍA VICTORIA;TIGNINO;37;5538923;29982672
5;CLAUDIA LEDA;MATTEO;55;922643;29989545
6;EDUARDO;SPOTORNO;51;9041958;29981264
7;PATRICIO LEANDRO;ACOSTA;38;3700900;29961124
8;EDUARDO AUGUSTO;WAGENER SEGUÍ;70;7651653;29952247
9;ANDRES MARIANO;RUIZ;68;9772636;29971078
10;SERGIO NESTOR;SANTILLANA;59;7124109;29959979
11;MARÍA GUILLERMINA;D'ONOFRIO;47;9590188;29995621
12;MARIO RAÚL;ESCALANTE;56;4840953;29978898
13;JUAN NORBERTO;CARENA;48;8523391;29951548
14;JOSE MARIA;HEGELLE;41;8130337;29959878
15;CLAUDIA MARISEL;DELLAFIORE;53;2753523;29971278
16;TERESA;BOSELLI;73;9126951;29992437
17;ALBERTO ANTONIO;SOUTO;60;7200696;29955672
18;ALEJANDRA TERESA;CHAVEZ FLORES;63;2601787;29984833
19;JORGE;ALIAGA;60;8134363;29989948
20;SOLANGE ROMINA;MARTINEZ DEMARCO;35;3854182;29965795
21;ISABEL ESTHER;CINTO;42;10237942;29988511
22;JORGE MANUEL;FINOCHIETTO;41;4015526;29980772
23;GERARDO;BURTON;66;1345072;29986683
24;ANTONIO;CURTOSI;60;482315;29963154
25;ALEJADRO RAÚL;MARTÍNEZ;45;6849106;29978688
26;MARÍA GLORIA;TROCELLO;68;1054695;29951754
27;MARIA ELINA;ESTEBANEZ;58;1330271;29977727
28;RUBEN OSCAR;WEHT;56;3902429;29957027
29;GABRIELA VIVIANA;TOSONOTTO;57;9817318;29966976
30;ALBERTO;SECCHI;76;4847090;29971144
31;VERONICA SOLEDAD;DEL VALLE;42;1105400;29976152
32;SILVANA;PETRUCCELLI;54;6702278;29997955
33;EDGARFDO GERMAN;PEREYRA;66;6756569;29960858
34;DAMIAN JOSÉ;KRAUS;51;5253857;29983483
35;ERIC JAVIER;MARTÍNEZ;51;5460705;29972906
36;GUSTAVO HECTOR;LIBERATORE;55;10177381;29986980
37;ARIEL ERNESTO;CARIAGA MARTINEZ;37;6127515;29968499
38;GERARDO MATHIAS;IURINIC;34;9630727;29979324
39;IRENE RUTH;SCHLOSS;56;8567887;29962590
40;MARCELO MARIO;MARISCAL;44;3283208;29966524
41;CRISTIAN EDUARDO;LEDESMA;33;6519846;29988979
42;PEDRO;DALEO;41;6736094;29960076
43;HORACIO MIGUEL;PASTAWSKI;62;10981094;29974907
44;CARLOS G;WERNICKE;71;9492154;29981216
45;LUCAS ALFREDO;DEFELIPE;33;1126595;29997252
46;FLAVIA;BONOMO;41;3910072;29954320
47;LUISINA;POCAY;31;9344118;29967321
48;MARISOL;VALLEJO;45;7034742;29996742
49;ANTOLIN ERNESTO;MORAL;75;3950917;29970066
50;VÍCTOR ARIEL;VERGARA ROIG;52;8067520;29954883
51;RAMON;GARCIA-MARTINEZ;58;9894070;29983198
52;MARIANA;HERRERA PIÑERO;56;7143629;29995317
53;SEBASTIAN ALBERTO;RODRIGUEZ;40;10994026;29954907
54;RAÚL GERARDO;BADINI;59;3381339;29981738
55;VALERIA;BERNAL;45;9801424;29967123
56;PABLO;ALABARCES;57;1159744;29952199
57;JULIA;GELFMAN;37;805994;29972133
58;LEANDRO ARIEL;DOCTORS LOPEZ;37;8178203;29981289
59;CORRADA;YANINA;49;1913077;29953970
60;FRANCO ANDRÉS;CAVA;50;6809762;29965176
61;ALBERTO;ETCHEGOYEN;69;9644531;29968831
62;CARLOS;ARECES;48;8354269;29961366
63;JULIETA;BACCI;40;2031967;29991152
64;VÍCTOR MANUEL;FERNÁNDEZ;36;9103913;29994516
65;PABLO;RIBEIRO;42;937479;29977996
66;JUAN ALFREDO;TOMASINI;79;10454357;29996108
67;JOSÉ NORBERTO;GALAY SANTANDREU;76;8212355;29953536
68;PAULA;NAHIRÑAK;42;5455567;29972290
69;FERNANDO;CARRARI;51;10168807;29974088
70;MARINA;PEYRAS;33;2138157;29966307
71;MARIA ELENA;CORDERA;68;2356922;29963084
72;PAULA;CARLINO;55;5024801;29961413
73;LUIS ALBERTO;PEREIRA;66;10860192;29995947
74;MARÍA ROSARIO;FEUILLET TERZAGHI;42;891210;29954594
75;JUAN ANGEL;BASUALDO FARJAT;69;1969109;29969073
76;ALICIA;GONZÁLEZ-SAIBENE;72;3727932;29977494
77;JOSE MANUEL;CARLLINNI;57;9550497;29952155
78;JONAS;PFEFFERMAN;51;7205580;29963738
79;HUGO ANÍBAL;GARCÍA;66;9666323;29962145
80;CLARA MARÍA;AZARETTO;71;2735575;29979046
81;WALTER PATRICIO;MAC CORMACK;60;619536;29987188
82;PATRICIA BÁRBARA;FLORES;44;8629572;29964923
83;SOLEDAD;MORALES;39;3174021;29999894
84;ARTURO AQUILINO;FERNÁNDEZ;79;9502290;29997634
85;EDUARDO MARIANO;RUIZ BARLETT;38;10076991;29950370
86;ESTEBAN GABRIEL;JOBBAGY GAMPEL;50;1744123;29998083
87;ALICIA;SÉRSIC;59;3267298;29983455
88;ALEJANDRO DANIEL;OVIEDO;52;1759211;29968980
89;SERGIO ANTONIO;PELLICE;46;2347559;29951389
90;FERNANDO;BOTTERÓN;52;9528704;29954512
91;ESTEBAN MARIANO;GONZALEZ;38;9584289;29987917
92;JUAN FRANCISCO;ANGIOLINI;32;7251813;29981684
93;LORENA;ORCELLET;40;4189345;29987721
94;ANGEL;CATALA;81;5354331;29991742
95;CARLOS;MINAHK;46;4530769;29952416
96;EDUARDO;JUAREZ;72;10563944;29992504
97;MARCELO CLAUDIO;PERISSÉ;61;3559031;29958739
98;JORGE ALBERTO;SERRA;76;5265005;29977823
99;GRACIELA CECILIA;GAYETZKY;63;3684003;29997735
100;JORGE ADOLFO;MAZA;67;6382647;29975849
101;SUSANA;VAZQUEZ;51;7172563;29969576
102;LEONARDO GIULIANO;TROMBETTA;32;1737198;29999521
